Result,surface,best_of,w_heightdiff,w_agediff,w_acediff,w_dfdiff,%w_1stIndiff,%w_1stwondiff,%w_2ndwondiff,w_rankdiff,w_rankpointsdiff
1,1,3,-20,-5.47296372,2,-2,-0.004339623,-0.099811676,0.048213273,-45,1201
1,1,3,-8,-5.03216974,-6,6,-0.098181818,0.045036765,-0.127717391,31,-752
1,1,3,-2,-3.33470226,-3,2,-0.067532468,-0.136686992,0.079861111,-10,106
1,1,3,-3,-3.23613963,-12,-4,0.054022988,-0.035415971,-0.06119951,55,-598
0,1,3,5,-5.3908282,-1,-1,-0.030681818,0.037209302,0.068990043,-27,1480
1,1,3,5,-1.21560575,3,0,-0.129991127,0.023030303,-0.369047619,55,-527
1,1,3,-15,12.31211499,-1,2,-0.072265023,0.001261716,-0.047712418,-55,1502
0,1,3,7,-4.06570842,2,0,-0.007755102,0.315053764,0.052631579,-18,196
1,1,3,-2,-5.05954826,6,1,0.033914497,0.052696079,-0.08319185,-26,443
1,1,3,20,-4.95277207,6,1,-0.135199726,-0.052380953,-0.02962963,-19,1345
0,1,3,-5,10.63381245,5,1,-0.026666666,0.031263569,0.148351648,-52,1067
1,1,3,-7,1.24024641,-3,-1,0.102972477,-0.076086957,-0.136363636,-26,970
1,1,3,3,-4.05475702,2,-2,0.06547619,-0.384615385,-0.09090909,-32,768
0,1,3,15,-2.87748118,6,2,0.053293611,0.037220844,0.243589744,-14,650
1,1,3,0,7.46885695,7,-1,0.085470086,-0.014705883,-0.028211284,11,-153
0,1,3,-3,-2.85831622,-5,-1,0.014186812,0.006791171,0.309121622,25,-835
0,1,3,0,8.59411362,9,2,0.006666667,0.143939394,-0.056149733,69,-1098
0,1,3,-5,-1.4072553,1,2,-0.219047619,0.243589744,0.163461538,-10,54
